,country,continent,date,cases,deaths,country_code,population,normalized deaths,normalized cases
41,Chile,America,2020-04-12,426,8,CHL,18729160.0,4.2714142011707945e-07,2.274528062123448e-05
42,China,Asia,2020-04-12,93,0,CHN,1392730000.0,0.0,6.67753261579775e-08
43,Colombia,America,2020-04-12,236,20,COL,49648685.0,4.02830407290747e-07,4.753398806030814e-06
44,Congo,Africa,2020-04-12,0,0,COG,5244363.0,0.0,0.0
45,Costa_Rica,America,2020-04-12,19,0,CRI,4999441.0,0.0,3.800424887502423e-06
46,Cote_dIvoire,Africa,2020-04-12,53,1,CIV,25069229.0,3.988953948284568e-08,2.114145592590821e-06
47,Croatia,Europe,2020-04-12,39,0,HRV,4089400.0,0.0,9.53685137183939e-06
48,Cuba,America,2020-04-12,56,1,CUB,11338138.0,8.819790339471967e-08,4.939082590104301e-06
49,Cura̤ao,America,2020-04-12,0,0,CUW,159849.0,0.0,0.0
50,Cyprus,Europe,2020-04-12,21,0,CYP,1189265.0,0.0,1.7657965213808528e-05
51,Czechia,Europe,2020-04-12,170,10,CZE,10625695.0,9.411149106011419e-07,1.5998953480219412e-05
52,Democratic_Republic_of_the_Congo,Africa,2020-04-12,11,0,COD,84068091.0,0.0,1.3084631599401967e-07
53,Denmark,Europe,2020-04-12,177,13,DNK,5797446.0,2.2423667249337034e-06,3.053068540871273e-05
54,Djibouti,Africa,2020-04-12,37,1,DJI,958920.0,1.0428398615108664e-06,3.858507487590206e-05
55,Dominica,America,2020-04-12,0,0,DMA,71625.0,0.0,0.0
56,Dominican_Republic,America,2020-04-12,139,9,DOM,10627165.0,8.468862580001346e-07,1.3079687762446523e-05
57,Ecuador,America,2020-04-12,96,18,ECU,17084357.0,1.0535954030930166e-06,5.619175483162755e-06
58,Egypt,Africa,2020-04-12,145,11,EGY,98423595.0,1.1176181890125025e-07,1.4732239764255715e-06
59,El_Salvador,America,2020-04-12,0,0,SLV,6420744.0,0.0,0.0
60,Equatorial_Guinea,Africa,2020-04-12,0,0,GNQ,1308974.0,0.0,0.0
61,Eritrea,Africa,2020-04-12,0,0,ERI,1000000.0,0.0,0.0
62,Estonia,Europe,2020-04-12,46,0,EST,1320884.0,0.0,3.482516254266082e-05
63,Eswatini,Africa,2020-04-12,2,0,SWZ,1367000.0,0.0,1.463057790782736e-06
64,Ethiopia,Africa,2020-04-12,4,1,ETH,109224559.0,9.155450103488172e-09,3.662180041395269e-08
65,Falkland_Islands_(Malvinas),America,2020-04-12,0,0,xx,1000000.0,0.0,0.0
66,Faroe_Islands,Europe,2020-04-12,0,0,FRO,48497.0,0.0,0.0
67,Fiji,Oceania,2020-04-12,0,0,FJI,883483.0,0.0,0.0
68,Finland,Europe,2020-04-12,136,1,FIN,5518050.0,1.8122343943965712e-07,2.464638776379337e-05
69,France,Europe,2020-04-12,3114,635,FRA,66987244.0,9.479416708052655e-06,4.648646240767869e-05
70,French_Polynesia,Oceania,2020-04-12,0,0,PYF,277679.0,0.0,0.0
71,Gabon,Africa,2020-04-12,3,0,GAB,2119275.0,0.0,1.4155784407403474e-06
72,Gambia,Africa,2020-04-12,5,0,GMB,2280102.0,0.0,2.1928843534192768e-06
73,Georgia,Europe,2020-04-12,8,0,GEO,3731000.0,0.0,2.1441972661484855e-06
74,Germany,Europe,2020-04-12,2821,129,DEU,82927922.0,1.5555677374865367e-06,3.401749292596527e-05
